Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,36320
,,,,,,
,,,,,,
19.11.2025,,,,,,
"79,2",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,25,25,25,25,,3500
сгибания,59,59,59,59,,
,18,18,18,18,,4248
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
Жим 2мя ногами,170,170,170,170,,
,12,12,12,12,,8160
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,36080
,,,,,,
11/262025,,,,,,
"80,4",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,25,25,25,25,,3500
сгибания,59,59,59,59,,
,18,18,18,18,,4248
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
Жим 2мя ногами,170,170,170,170,,
,12,12,12,12,,8160
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,36080
,,,,,,
,,,,,,
12/17/2025,,,,,,
"79,2",1,2,3,4,5,6
голени подъем,35,35,35,35,,
,25,25,25,25,,3500
сгибания,59,59,59,59,,
,18,18,18,18,,4248
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
Жим 2мя ногами,170,170,170,170,,
,12,12,12,12,,8160
Подтягивания ,81,81,81,81,,
,12,12,12,12,,3888
Скручивания сверху диагональные,13,13,13,13,,
,13,13,13,13,,676
Колесо пресс,22,22,22,22,,
,20,20,20,20,,1760
Приседания на полусфере,80,80,80,80,,
,20,20,20,20,,6400
,,,,,,36080
,,,,,,
,,,,,,
1/14/2026,,,,,,
"79,2",1,2,3,4,5,6
голени подъем,40,40,40,40,,
,25,25,25,25,,4000
сгибания,45,45,45,45,,
,10,10,10,10,,1800
голени 2,80,80,80,80,,
,25,25,25,25,,8000
разгибания,59,59,59,59,,
,18,18,18,18,,4248
Жим одной ногой,70,70,70,70,,
,12,12,12,12,,3360
