28.10.2024,,,,,,,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,21080,
,,,,,,,
,,,,,,,
16.06.2025,,,,,,,
80.6,1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,13,13,13,13,,2964,
Тяга к подбородку,25,25,25,25,,,
,14,14,14,14,,1400,
Фронтальная Тяга,50,50,50,50,,,
,13,13,13,13,,2600,
Гантели развод,10,10,10,10,,,
,12,12,12,12,,480,
Нижний блок,60.5,60.5,60.5,60.5,,,
,12,12,12,12,,2904,
Обр бабочка,45,45,45,45,,,
,14,14,14,14,,2520,
Разгибания из-за головы Триц,21,21,21,21,,,
,16,16,16,16,,1344,
штанга биц,22.5,22.5,22.5,22.5,,,
,16,16,16,16,,1440,
блок триц,28.5,27.1,27.1,27.1,,,
,14,14,14,14,,14.5,
тренажер биц,48.5,48.5,48.5,48.5,,,
,14,14,14,14,,2716,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,20044,
,,,,,,,
,,,,,,,
23.06.2025,,,,,,,
80.2,1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,13,13,13,13,,2964,
Тяга к подбородку,31,31,31,31,,,
,14,14,14,14,,1736,
Фронтальная Тяга,50,50,50,50,,,
,13,13,13,13,,2600,
Гантели развод,10,10,10,10,,,
,16,16,16,16,,640,
Нижний блок,60.5,60.5,60.5,60.5,,,
,13,13,13,13,,3146,
Обр бабочка,47,47,47,47,,,
,12,12,12,12,,2256,
Разгибания из-за головы Триц,21,21,21,21,,,
,16,16,16,16,,1344,
штанга биц,25,25,25,25,,,
,15,15,15,15,,1500,
блок триц,28.5,27.1,27.1,27.1,,,
,15,15,15,15,,5.9,
тренажер биц,48.5,48.5,48.5,48.5,,,
,15,15,15,15,,2910,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,20886,
,,,,,,,
14.07.2025,,,,,,,
80.2,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,13,13,13,13,,2444,
Тяга к подбородку,28,28,28,28,,,
,14,14,14,14,,1568,
Фронтальная Тяга,45,45,45,45,,,
,13,13,13,13,,2340,
Гантели развод,10,10,10,10,,,
,12,12,12,12,,480,
Нижний блок,50.5,50.5,50.5,50.5,,,
,12,12,12,12,,2424,
Обр бабочка,42,42,42,42,,,
,12,12,12,12,,2016,
Разгибания из-за головы Триц,19,19,19,19,,,
,12,12,12,12,,912,
штанга биц,20,20,20,20,,,
,12,12,12,12,,960,
блок триц,25,25,25,25,,,
,12,12,12,12,,1200,
Молот,8,8,8,8,,,
,12,12,12,12,,384,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,14808,
,,,,,,,
,,,,,,,
21.07.2025,,,,,,,
79.4,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,14,14,14,14,,2632,
Тяга к подбородку,28,28,28,28,,,
,14,14,14,14,,1568,
Фронтальная Тяга,45,45,45,45,,,
,14,14,14,14,,2520,
Гантели развод,10,10,10,10,,,
,14,14,14,14,,560,
Нижний блок,50.5,50.5,50.5,50.5,,,
,14,14,14,14,,2828,
Обр бабочка,42,42,42,42,,,
,14,14,14,14,,2352,
Разгибания из-за головы Триц,17,17,17,17,,,
,14,14,14,14,,952,
штанга биц,20,20,20,20,,,
,14,14,14,14,,1120,
блок триц,25,25,25,25,,,
,14,14,14,14,,1400,
Молот,8,8,8,8,,,
,14,14,14,14,,448,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,16460,
,,,,,,,
,,,,,,,
28.07.2025,,,,,,,
79.4,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,14,14,14,14,,2632,
Тяга к подбородку,28,28,28,28,,,
,14,14,14,14,,1568,
Фронтальная Тяга,45,45,45,45,,,
,14,14,14,14,,2520,
Гантели развод,10,10,10,10,,,
,14,14,14,14,,560,
Нижний блок,50.5,50.5,50.5,50.5,,,
,14,14,14,14,,2828,
Обр бабочка,42,42,42,42,,,
,14,14,14,14,,2352,
Разгибания из-за головы Триц,17,17,17,17,,,
,14,14,14,14,,952,
штанга биц,20,20,20,20,,,
,14,14,14,14,,1120,
блок триц,25,25,25,25,,,
,14,14,14,14,,1400,
Молот,8,8,8,8,,,
,14,14,14,14,,448,
Пресс низ +колесо,1,1,1,1,,,
,20,20,20,20,,80,
,,,,,,16460,
,,,,,,,
27.08.2025,,,,,,,
81.2,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,12,12,12,12,,2256,
Тяга к подбородку,28,28,28,28,,,
,12,12,12,12,,1344,
Фронтальная Тяга,45,45,45,45,,,
,12,12,12,12,,2160,
Гантели развод,10,10,10,10,,,
,12,12,12,12,,480,
Нижний блок,50.5,50.5,50.5,50.5,,,
,12,12,12,12,,2424,
Обр бабочка,42,42,42,42,,,
,12,12,12,12,,2016,
Разгибания из-за головы Триц,17,17,17,17,,,
,12,12,12,12,,816,
штанга биц,20,20,20,20,,,
,12,12,12,12,,960,
блок триц,25,25,25,25,,,
,12,12,12,12,,1200,
Молот,8,8,8,8,,,
,12,12,12,12,,384,
Пресс низ +колесо,1,1,1,1,,,
,0,0,0,0,,0,
,,,,,,14040,
,,,,,,,
,,,,,,,
,,,,,,,
01.09.2025,,,,,,,
79.2,1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,13,13,13,13,,2444,
Тяга к подбородку,28,28,28,28,,,
,14,14,14,14,,1568,
Фронтальная Тяга,45,45,45,45,,,
,13,13,13,13,,2340,
Гантели развод,10,10,10,10,,,
,14,14,14,14,,560,
Нижний блок,50.5,50.5,50.5,50.5,,,
,13,13,13,13,,2626,
Обр бабочка,42,42,42,42,,,
,14,14,14,14,,2352,
Разгибания из-за головы Триц,17,17,17,17,,,
,14,14,14,14,,952,
штанга биц,20,20,20,20,,,
,14,14,14,14,,1120,
блок триц,25,25,25,25,,,
,14,14,14,14,,1400,
Молот,8,8,8,8,,,
,14,14,14,14,,448,
Пресс низ +колесо,1,1,1,1,,,
,0,0,0,0,,0,
,,,,,,15810,
,,,,,,,
,,,,,,,
08.09.2025,,,,,,,
"80,5",1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,14,14,14,14,,2632,
Тяга к подбородку,28,28,28,28,,,
,16,16,16,16,,1792,
Фронтальная Тяга,45,45,45,45,,,
,14,14,14,14,,2520,
Гантели развод,10,10,10,10,,,
,16,16,16,16,,640,
Нижний блок,50.5,50.5,50.5,50.5,,,
,14,14,14,14,,2828,
Обр бабочка,42,42,42,42,,,
,16,16,16,16,,2688,
Разгибания из-за головы Триц,17,17,17,17,,,
,16,16,16,16,,1088,
штанга биц,20,20,20,20,,,
,16,16,16,16,,1280,
блок триц,25,25,25,25,,,
,16,16,16,16,,1600,
Молот,8,8,8,8,,,
,16,16,16,16,,512,
Пресс низ +колесо,1,1,1,1,,,
,0,0,0,0,,0,
,,,,,,17580,
,,,,,,,
15.09.2025,,,,,,,
"80,95",1,2,3,4,5,6,
Верхний блок,47,47,47,47,,,
,15,15,15,15,,2820,
Тяга к подбородку,28,28,28,28,,,
,18,18,18,18,,2016,
Фронтальная Тяга,45,45,45,45,,,
,15,15,15,15,,2700,
Гантели развод,10,10,10,10,,,
,18,18,18,18,,720,
Нижний блок,50.5,50.5,50.5,50.5,,,
,15,15,15,15,,3030,
Обр бабочка,42,42,42,42,,,
,18,18,18,18,,3024,
Разгибания из-за головы Триц,17,17,17,17,,,
,18,18,18,18,,1224,
штанга биц,20,20,20,20,,,
,18,18,18,18,,1440,
блок триц,25,25,25,25,,,
,18,18,18,18,,1800,
Молот,8,8,8,8,,,
,18,18,18,18,,576,
Пресс низ +колесо,1,1,1,1,,,
,0,0,0,0,,0,
,,,,,,19350,
,,,,,,,
,,,,,,,
24.09.2025,,,,,,,
"81,3",1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,12,12,12,12,,2736,
Тяга к подбородку,31,31,31,31,,,
,13,13,13,13,,1612,
Фронтальная Тяга,55,55,55,55,,,
,12,12,12,12,,2640,
Гантели развод,12,12,12,12,,,
,13,13,13,13,,624,
Нижний блок,57,57,57,57,,,
,12,12,12,12,,2736,
Обр бабочка,47,47,47,47,,,
,13,13,13,13,,2444,
Разгибания из-за головы Триц,21,21,21,21,,,
,13,13,13,13,,1092,
штанга биц,25,25,25,25,,,
,13,13,13,13,,1300,
блок триц,28,28,28,28,,,
,12,12,12,12,,1344,
Молот,9,9,9,9,,,
,26,26,26,26,,936,
Пресс низ +колесо,1,1,1,1,,,
,0,0,0,0,,0,
,,,,,,17464,
,,,,,,,
,,,,,,,
29.09.2025,,,,,,,
"82,2",1,2,3,4,5,6,
Верхний блок,57,57,57,57,,,
,13,13,13,13,,2964,
Тяга к подбородку,31,31,31,31,,,
,14,14,14,14,,1736,
Фронтальная Тяга,55,55,55,55,,,
,13,13,13,13,,2860,
Гантели развод,12,12,12,12,,,
,14,14,14,14,,672,
Нижний блок,57,57,57,57,,,
,13,13,13,13,,2964,
Обр бабочка,47,47,47,47,,,
,14,14,14,14,,2632,
